title,price,closing_date,result,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,url
350-Powered 1986 Toyota Land Cruiser FJ60,25000,2021-10-31,sold,11520,750,30,41,virginia,1986,fj60,200000,Other(Swapped),automatic,brown,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-40/
1990 Toyota Land Cruiser FJ62,29000,2021-10-30,sold,9907,701,20,34,new mexico,1990,fj62,181000,3F-E,automatic,white,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-51/
1985 Toyota Land Cruiser FJ60,40000,2021-10-28,sold,15900,605,16,23,arizona,1985,fj60,89000,2F,manual,white,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-94/
1985 Toyota Land Cruiser FJ60,26500,2021-10-25,sold,14044,718,9,37,texas,1985,fj60,132000,2F,manual,red,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-93/
1988 Toyota Land Cruiser FJ62,28000,2021-10-24,sold,8438,551,12,21,utah,1988,fj62,156000,3F-E,automatic,white,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-75/
1989 Toyota Land Cruiser FJ62,40250,2021-10-23,sold,6651,454,7,14,iowa,1989,fj62,144000,3F-E,automatic,red,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-104/
1984 Toyota Land Cruiser FJ60,36250,2021-10-21,sold,8957,595,27,32,oklahoma,1984,fj60,129000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-60/
No Reserve: 1988 Toyota Land Cruiser FJ62,19500,2021-10-20,sold,8039,625,23,22,tennessee,1988,fj62,265000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-73-2/
Vortec-Powered 1989 Toyota Land Cruiser FJ62,39000,2021-10-18,sold,16666,1091,37,35,minnesota,1989,fj62,146000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-101/
1989 Toyota Land Cruiser FJ62,24250,2021-10-16,sold,13469,845,29,22,california,1989,fj62,251000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-105/
1987 Toyota Land Cruiser FJ60 5-Speed,43000,2021-10-14,sold,9489,691,24,26,virginia,1987,fj60,168000,2H,manual,blue,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-85/
No Reserve: Modified 1984 Toyota Land Cruiser FJ60 5-Speed,22500,2021-10-13,sold,10189,631,41,22,idaho,1984,fj60,197000,2F,manual,blue,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-63/
No Reserve: 1990 Toyota Land Cruiser FJ62,27500,2021-10-13,sold,5989,456,32,21,florida,1990,fj62,181000,3F-E,automatic,blue,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-50/
1984 Toyota Land Cruiser FJ60,29750,2021-10-07,sold,7687,528,15,30,california,1984,fj60,100000,2F,manual,red,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-53/
1984 Toyota Land Cruiser FJ60,31250,2021-10-03,sold,10999,569,17,11,washington,1984,fj60,192000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-64/
1989 Toyota Land Cruiser FJ62,15100,2021-09-27,reserve not met,9107,570,23,24,colorado,1989,fj62,271000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-80/
1FZ-Powered 1989 Toyota Land Cruiser FJ62 5-Speed,27000,2021-09-26,reserve not met,14582,723,38,14,florida,1989,fj62,200000,Other(Swapped),manual,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-102/
350-Powered 1985 Toyota Land Cruiser FJ60,42000,2021-09-19,sold,11656,706,56,23,oregon,1985,fj60,211000,Other(Swapped),manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-90/
No Reserve: 1987 Toyota Land Cruiser FJ60,17000,2021-09-12,sold,12143,716,33,47,massachusetts,1987,fj60,235000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-83/
1989 Toyota Land Cruiser FJ62,27000,2021-09-09,sold,9398,546,29,21,texas,1989,fj62,172000,3F-E,automatic,white,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-82/
350-Powered 1987 Toyota Land Cruiser FJ60,35500,2021-09-06,sold,11445,735,24,26,texas,1987,fj60,187000,Other(Swapped),automatic,white,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-82/
1985 Toyota Land Cruiser FJ60,25250,2021-09-02,sold,9359,668,28,53,colorado,1985,fj60,299000,2F,manual,silver,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-89/
1988 Toyota Land Cruiser FJ62,37000,2021-08-27,sold,10965,671,36,57,south carolina,1988,fj62,187000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-74/
1987 Toyota Land Cruiser FJ60,44000,2021-08-24,sold,13308,825,39,36,arizona,1987,fj60,189000,2F,manual,white,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-73/
LSA-Powered 1990 Toyota Land Cruiser FJ62,127500,2021-08-20,sold,39054,1086,114,28,washington,1990,fj62,38000,Other(Swapped),automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-95/
No Reserve: 1988 Toyota Land Cruiser FJ62,28500,2021-08-19,sold,9594,614,18,21,tennessee,1988,fj62,265000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-73/
1989 Toyota Land Cruiser FJ62,73000,2021-08-14,sold,11270,613,37,37,georgia,1989,fj62,67000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-84/
No Reserve: 1986 Toyota Land Cruiser FJ60,19200,2021-08-07,sold,16184,836,42,29,illinois,1986,fj60,159000,2F,manual,blue,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-37/
No Reserve: 1985 Toyota Land Cruiser FJ60,22250,2021-08-03,sold,11244,710,24,29,virginia,1985,fj60,166000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-85/
